"hhid","plotnum","plot_value","maize_price","maize_value","output_kg_old","output_kg_new","maize_share","crop_count","beans","cash_crop","soil","soilq","erosion","slope","irrig","fallow","fallow_years","org","orgQ1","inorg1","inorg_type1","inorgQ1","voucher1","inorg_price1","inorg2","inorg_type2","inorgQ2","voucher2","inorg_price2","pest","pestQ","pestU","short_rain","short_rain_crop","owned","price_type1","price_type2","quantity_type1","quantity_type2","nitrogen_kg","phosphorous_kg","potassium_kg","nitrogen_price","nitrogen_unit_price","fam_lab_days","hir_lab_days","area_est","area_gps","area_gps_imputed","sex","age","hh_size","own_sh","rent_sh","y3_hhid","year"
"1001003325003201","M1",16397.8571428571,361.25,13005,36,45.391992090954,79.3091431807292,2,FALSE,FALSE,"LOAM","GOOD","NO","FLAT BOTTOM","NO",0,NA,"NO",NA,"YES","UREA",5,"YES",19500,"NO",NA,NA,NA,NA,"NO",NA,NA,"NO",NA,"OWNED",19500,0,2.3,0,2.3,0,0,19500,8478.26086956522,16,0,0.101171500980854,0.0809371992945671,0.0809371992945671,"female",66,2,75000,NA,NA,2010
"1001003325003201","M2",27437.3974358974,361.25,19507.5,54,75.9512731789548,71.0982156583028,2,FALSE,FALSE,"LOAM","GOOD","NO","FLAT BOTTOM","NO",0,NA,"NO",NA,"YES","UREA",5,"YES",19500,"NO",NA,NA,NA,NA,"NO",NA,NA,"NO",NA,"OWNED",19500,0,2.3,0,2.3,0,0,19500,8478.26086956522,40,0,1.61874401569366,NA,1.55747449398041,"female",66,2,75000,NA,NA,2010
"1001003325004101","M1",63267.8571428571,361.25,36125,100,175.135936727632,57.0985040925769,2,FALSE,FALSE,"LOAM","AVERAGE","NO","FLAT BOTTOM","NO",0,NA,"NO",NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO",NA,NA,"NO",NA,"OWNED",0,0,0,0,0,0,0,NA,NA,40,0,0.809372007846832,0.485623210668564,0.485623210668564,"male",43,4,12000,NA,NA,2010
"1001003325004901","M2",194485.7,361.25,50575,140,538.368719723183,26.0044825917792,2,FALSE,FALSE,"LOAM","AVERAGE","NO","FLAT BOTTOM","NO",0,NA,"NO",NA,"YES","SA",20,"NO",8000,"NO",NA,NA,NA,NA,"NO",NA,NA,"NO",NA,"OWNED",8000,0,4.2,0,4.2,0,0,8000,1904.7619047619,66,0,0.404686003923416,0.11331208050251,0.11331208050251,"male",46,4,8000,NA,NA,2010
"1001003325004902","M1",513991.799384817,361.25,325125,900,1422.81466957735,63.2549002511584,3,FALSE,FALSE,"LOAM","AVERAGE","NO","FLAT BOTTOM","NO",2006,2,"NO",NA,"YES","UREA",50,"NO",45000,"YES","SA",25000,"NO",23000,"NO",NA,NA,"NO",NA,"OWNED",45000,23000,23,5250,5273,0,0,23095.9605537645,4.38004182699876,195,0,6.47497606277466,NA,6.06332921981812,"female",39,4,12000,NA,NA,2010
"1001003325005401","M1",69843.9393939394,361.25,14450,40,193.339624619901,20.6889819294097,2,FALSE,FALSE,"LOAM","GOOD","NO","FLAT BOTTOM","NO",0,NA,"NO",NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO",NA,NA,"NO",NA,"OWNED",0,0,0,0,0,0,0,NA,NA,65,0,0.101171500980854,0.0809371992945671,0.0809371992945671,"female",69,1,NA,0,NA,2010
"1001003325007701","M1",97540.9090909091,361.25,14450,40,270.009436929852,14.8142970315485,2,FALSE,FALSE,"LOAM","AVERAGE","NO","FLAT BOTTOM","NO",0,NA,"NO",NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO",NA,NA,"NO",NA,"OWNED",0,0,0,0,0,0,0,NA,NA,12,0,0.101171500980854,0.0485623180866241,0.0485623180866241,"female",45,6,6000,NA,NA,2010
"1001019004000101","M2",72250,361.25,72250,200,200,100,1,FALSE,FALSE,"SANDY","BAD","NO","FLAT BOTTOM","NO",0,NA,"NO",NA,"YES","UREA",38,"NO",48000,"NO",NA,NA,NA,NA,"NO",NA,NA,"NO",NA,"OWNED",48000,0,17.48,0,17.48,0,0,48000,2745.99542334096,174,0,1.82108700275421,2.22577309608459,2.22577309608459,"male",45,8,32000,NA,NA,2010
"1001019004000101","M3",72250,361.25,72250,200,200,100,1,FALSE,FALSE,"SANDY","BAD","NO","FLAT BOTTOM","NO",0,NA,"NO",NA,"YES","SA",37,"NO",47000,"NO",NA,NA,NA,NA,"NO",NA,NA,"NO",NA,"OWNED",47000,0,7.77,0,7.77,0,0,47000,6048.90604890605,39,0,0.404686003923416,0.433014035224915,0.433014035224915,"male",45,8,32000,NA,NA,2010
"1001019004003001","M3",104020.6,361.25,36125,100,287.946297577855,34.7286979694407,2,FALSE,FALSE,"LOAM","AVERAGE","NO","FLAT BOTTOM","NO",0,NA,"NO",NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO",NA,NA,"NO",NA,"OWNED",0,0,0,0,0,0,0,NA,NA,38,0,0.404686003923416,0.323748797178268,0.323748797178268,"male",63,3,10500,NA,NA,2010
