"y2_hhid","plotnum","area_est","area_gps","area_gps_imputed"
"0103013004074501","M2",0.202343001961708,0.121405802667141,0.121405802667141
"0103013301006801","M1",0.404686003923416,0.416826575994492,0.416826575994492
"0103013301006801","M2",0.404686003923416,0.554419815540314,0.554419815540314
"0103013301009201","M1",0.809372007846832,0.764856517314911,0.764856517314911
"0103013301017501","M2",0.809372007846832,0.789137721061707,0.789137721061707
"0103013301017501","M1",0.607029020786285,0.412779718637466,0.412779718637466
"0103013301017501","M3",1.61874401569366,1.72396242618561,1.72396242618561
"0103013301018801","M1",2.02343010902405,1.57422852516174,1.57422852516174
"0103013301018801","M2",2.42811608314514,1.78061842918396,1.78061842918396
"0103013301018803","M1",2.02343010902405,2.44835042953491,2.44835042953491
"0103013301030001","M2",0.607029020786285,0.526091754436493,0.526091754436493
"0103013301030001","M1",0.607029020786285,0.647497594356537,0.647497594356537
