"y2_hhid","plotnum","plot_value","maize_price","maize_value","output_kg_old","output_kg_new","maize_share","crop_count","beans","cash_crop"
"1003037001006301","M3",108375,361.25,108375,300,300,100,1,FALSE,FALSE
"1003037001006301","M4",NA,361.25,NA,NA,NA,NA,1,FALSE,FALSE
"1003037001006305","M1",216750,361.25,216750,600,600,100,1,FALSE,FALSE
"1003037001008301","M3",101032.14,361.25,72250,200,279.673743944637,71.5118971052182,2,FALSE,FALSE
"1003037001020801","M1",52020,361.25,52020,144,144,100,1,FALSE,FALSE
"1003037001020802","M3",19824.7435897435,361.25,0,0,54.878182947387,0,2,FALSE,FALSE
"1003037001020808","M3",144500,361.25,144500,400,400,100,1,FALSE,FALSE
"1003037001026401","M3",237882.346717172,361.25,54187.5,150,658.497845583866,22.7791178066802,3,FALSE,FALSE
"1003037001029301","M3",172987.49,361.25,72250,200,478.858103806228,41.766025971011,2,FALSE,FALSE
"1003037001037201","M4",208681.245,361.25,54187.5,150,577.664346020761,25.9666363405106,2,FALSE,FALSE
"1003037001037201","M5",14450,361.25,14450,40,40,100,1,FALSE,FALSE
"1003037001037204","M1",423833.333333333,353.194444444444,423833.333333333,1200,1200,100,1,FALSE,FALSE
"1003037001041301","M2",139252.675,361.25,28900,80,385.474532871972,20.7536408187491,2,FALSE,FALSE
"1003037001042901","M1",36125,361.25,36125,100,100,100,1,FALSE,FALSE
"1005006001005301","M1",745927.007538512,361.25,722500,2000,2064.84984785747,96.8593431660534,2,TRUE,FALSE
"1005006001005301","M3",205745.085077024,361.25,144500,400,569.536567687264,70.2325404011007,3,TRUE,FALSE
"1005006001005301","M4",139027.007538512,361.25,115600,320,384.849847857473,83.1493118112159,2,TRUE,FALSE
"1005006001011101","M1",216750,361.25,216750,600,600,100,1,FALSE,FALSE
"1005006001011101","M2",468640.511307768,361.25,433500,1200,1297.27477178621,92.5016061437569,2,TRUE,FALSE
"1005006001020601","M2",433500,361.25,433500,1200,1200,100,1,FALSE,FALSE
"1005006001020801","M1",108375,361.25,108375,300,300,100,1,FALSE,FALSE
"1005006001034601","M1",89519.5897435897,361.25,57800,160,247.805092715819,64.5668732012246,3,FALSE,FALSE
"1005006001034601","M2",171109.282051282,361.25,115600,320,473.658912252684,67.5591637193325,3,FALSE,FALSE
"1005006001062701","M1",251890.511307768,361.25,216750,600,697.274771786209,86.0492913665842,2,TRUE,FALSE
"1005006001062701","M2",18062.5,361.25,18062.5,50,50,100,1,FALSE,FALSE
"1005006001062801","M1",36125,361.25,36125,100,100,100,1,FALSE,FALSE
"1005006001062801","M2",1441062.04523107,361.25,1300500,3600,3989.09908714484,90.2459407840047,2,TRUE,FALSE
"1005009001014801","M2",443192.538461538,361.25,252875,700,1226.83055629492,57.0575941729094,2,FALSE,FALSE
"1005009001014801","M3",406135.03769256,361.25,289000,800,1124.24923928736,71.1585982933021,2,TRUE,FALSE
"1005009001026302","M1",191354.015077024,361.25,144500,400,529.699695714945,75.5144855161966,2,TRUE,FALSE
"1005009001028301","M2",706641.794871794,361.25,72250,200,1956.10185431638,10.2244164616825,2,FALSE,TRUE
"1005009001029701","M2",667770.07538512,361.25,433500,1200,1848.49847857473,64.9175541072261,3,TRUE,FALSE
"1005009001033601","M2",325125,361.25,325125,900,900,100,1,FALSE,FALSE
"1005009001051101","M1",312427.007538512,361.25,289000,800,864.849847857473,92.5016061437569,2,TRUE,FALSE
"1005009001055801","M2",180625,361.25,180625,500,500,100,1,FALSE,FALSE
"1005011005005902","M2",369066.493205254,361.25,231200,640,1021.63735143323,62.6445381134666,3,TRUE,FALSE
"1005011005006801","M1",18062.5,361.25,18062.5,50,50,100,1,FALSE,FALSE
"1005011005007201","M1",NA,361.25,28900,80,NA,NA,2,FALSE,FALSE
"1005011005009201","M1",248244.559615385,361.25,90312.5,250,687.182171945701,36.3804548788198,3,FALSE,FALSE
"1005011005012501","M2",50457.14,361.25,21675,60,139.673743944637,42.9572504505804,2,FALSE,FALSE
"1005011005016601","M3",171874.72,361.25,72250,200,475.777771626297,42.0364321175331,2,FALSE,FALSE
"1005011005017701","M2",54187.5,361.25,54187.5,150,150,100,1,FALSE,FALSE
"1005011005017701","M3",36125,361.25,36125,100,100,100,1,FALSE,FALSE
"1005011005017701","M4",36125,361.25,36125,100,100,100,1,FALSE,FALSE
"101014002028401","M1",141896.208112875,323.734567901235,71221.6049382717,220,438.310338722199,50.1927471392447,2,FALSE,FALSE
"101014002029701","M1",242800.925925926,323.734567901235,242800.925925926,750,750,100,1,FALSE,FALSE
"101014002029701","M2",64746.913580247,323.734567901235,64746.913580247,200,200,100,1,FALSE,FALSE
"101014002040901","M2",331796.666666667,323.734567901235,34963.3333333334,108,1024.90342263323,10.5375782356664,2,FALSE,FALSE
"101014002076101","M1",19424.0740740741,323.734567901235,19424.0740740741,60,60,100,1,FALSE,FALSE
"101014002076101","M2",123657.671957672,323.734567901235,38848.1481481482,120,381.972406466638,31.4158818722108,2,FALSE,FALSE
"101014002076201","M1",626040.12345679,323.734567901235,32373.4567901235,100,1933.80684526647,5.17114727589148,2,FALSE,FALSE
"102003003000401","M1",155392.592592593,323.734567901235,155392.592592593,480,480,100,1,FALSE,FALSE
"102003003000401","M2",194240.740740741,323.734567901235,194240.740740741,600,600,100,1,FALSE,FALSE
"102003003014001","M1",64746.913580247,323.734567901235,64746.913580247,200,200,100,1,FALSE,FALSE
"102003003016101","M1",199287.037037037,323.734567901235,97120.3703703705,300,615.587758604251,48.7339125586582,2,FALSE,FALSE
