"hhid","plotnum","hir.lab.days","fam.lab.days","area.est","area.gps","plot.dist","soil","soilq","eroscont","erosion","irrigation","slope","ownership","land.title","cultivate","pest","pest.kg","pest.unit","pest.type","pest.price","org.fert","org.fert.kg","org.fert.price","fert.type","fert","fert.kg","fert.price","N_share","P_share","K_share","nitrogen.kg","phosphorous.kg","potassium.kg","plot.value","maize.price","maize.value","output.kg.old","output.kg.new","maize.share","crop.count","beans","cash.crop","total.plot","inter.crop","seed.type","soh","aoh","hh.size","own.sh","rent.sh","plots","plot.missing","region","year","voucher"
1020030030174,"M5",0,48,0.40468564224,NA,NA,"Loam","Average","NO","YES","YES","Flat bottom","Owned","NO","YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",34,7,10062000,0,5,"NO","Dodoma",2008,NA
1020030030200,"M1",0,0,1.61874256896,1.3446,3.4,"Loam","Average","NO","NO","NO","Flat bottom","Owned","NO","NO",NA,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",31,5,1606000,0,2,"YES","Dodoma",2008,NA
1020030030200,"M2",68,19,1.61874256896,1.2267,1,"Loam","Average","NO","NO","NO","Slightly sloped","Rented in",NA,"YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,1846766.45475301,380.555555555555,958999.999999998,2520,4852.81696139479,51.9286018831361,3,FALSE,FALSE,"YES","YES","TRADITIONAL","Male",31,5,1606000,0,2,"YES","Dodoma",2008,NA
1020030030430,"M1",12,174,2.42811385344,NA,NA,"Loam","Average","NO","NO","NO","Flat bottom","Owned","NO","YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,375627.856727953,380.555555555555,304444.444444444,800,987.051302350828,81.0494852795053,2,FALSE,TRUE,"NO","YES","TRADITIONAL","Male",32,7,48000,360000,7,"YES","Dodoma",2008,NA
1020030030430,"M2",6,82,1.61874256896,NA,NA,"Loam","Good","NO","NO","NO","Flat bottom","Owned","NO","YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,813333.333333333,380.555555555555,228333.333333333,600,2137.22627737227,28.0737704918032,2,FALSE,FALSE,"NO","YES","TRADITIONAL","Male",32,7,48000,360000,7,"YES","Dodoma",2008,NA
1020030030430,"M3",0,108,1.21405692672,NA,NA,"Loam","Average","NO","NO","NO","Flat bottom","Owned","NO","YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,266388.888888888,380.555555555555,266388.888888888,700,700,100,1,FALSE,FALSE,"NO","NO","TRADITIONAL","Male",32,7,48000,360000,7,"YES","Dodoma",2008,NA
1020030030430,"M4",0,0,0.60702846336,NA,NA,NA,NA,NA,NA,NA,NA,"Owned","NO","NO",NA,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",32,7,48000,360000,7,"YES","Dodoma",2008,NA
1020030030430,"M5",0,0,0.40468564224,NA,NA,NA,NA,NA,NA,NA,NA,"Owned","NO","NO",NA,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",32,7,48000,360000,7,"YES","Dodoma",2008,NA
1020030030430,"M6",0,15,0.10117141056,NA,NA,"Loam","Good","NO","NO","NO","Flat bottom","Owned","NO","YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",32,7,48000,360000,7,"YES","Dodoma",2008,NA
1020030030430,"M7",0,0,0.40468564224,NA,NA,NA,NA,NA,NA,NA,NA,"Owned","NO","NO",NA,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",32,7,48000,360000,7,"YES","Dodoma",2008,NA
