"y2_hhid","plotnum","hir.lab.days","fam.lab.days","area.est","area.gps","plot.dist","main.crop","soil","soilq","eroscont","erosion","slope","irrigation","ownership","land.title","cultivate","org.fert","org.fert.kg","org.fert.price","pest","pest.type","pest.price","pest.kg","nitrogen.kg","phosphorous.kg","potassium.kg","voucher","plot.value","maize.price","maize.value","output.kg.old","output.kg.new","maize.share","crop.count","beans","cash.crop","total.plot","inter.crop","seed.type","soh","aoh","schl","hh.size","own.sh","rent.sh","plots","plot.missing","region","year"
1402004003013304,"M1",0,199,2.42811385344,2.29456973075867,8.1,50,"Loam","Good","NO","NO","Flat bottom","NO","Owned","NO","YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,635284.49455989,494.096973233738,296458.183940243,600,1285.74860599148,46.6654210009677,2,FALSE,TRUE,"YES","YES","None purchased","Male",62,NA,9,2045000,0,1,"NO","Tabora",2010
1402004003013305,"M1",0,468,8.0937128448,15.1554908752441,0.1,11,"Loam","Average","NO","YES","Flat bottom","NO","Owned","NO","YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,2375068.94051169,494.096973233738,1482290.91970121,3000,4806.88826115948,62.410437626365,3,TRUE,FALSE,"YES","YES","None purchased","Male",45,NA,14,33058000,0,1,"NO","Tabora",2010
1402004003015301,"M1",0,306,4.12779347366034,5.01810646057129,0.6,50,"Loam","Average","NO","NO","Flat bottom","NO","Owned","NO","YES","NO",0,0,"YES","Herbicide",2500,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female",46,NA,11,18648500,0,3,"NO","Tabora",2010
1402004003015301,"M2",0,72,0.80937128448,0.517998039722443,0.5,13,"Loam","Average","NO","NO","Flat bottom","NO","Owned","NO","YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female",46,NA,11,18648500,0,3,"NO","Tabora",2010
1402004003015301,"M3",0,72,1.21405692672,2.78423976898193,0.6,11,"Loam","Average","YES","YES","Flat bottom","NO","Owned","NO","YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,533624.731092437,494.096973233738,533624.731092437,1080,1080,100,1,FALSE,FALSE,"YES","NO","None purchased","Female",46,NA,11,18648500,0,3,"NO","Tabora",2010
1402004003019501,"M1",0,46,1.0117141056,1.28285467624664,1.5,13,"Loam","Average","NO","NO","Flat bottom","NO","Used free of charge",NA,"YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",41,1982,7,18000,0,2,"NO","Tabora",2010
1402004003019501,"M2",17,71,1.41639974784,1.83322763442993,1.2,50,"Loam","Good","NO","NO","Flat bottom","NO","Used free of charge",NA,"YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,431775.823774768,494.096973233738,44468.7275910364,90,873.868586866473,10.2990313821353,3,FALSE,TRUE,"NO","YES","None purchased","Male",41,1982,7,18000,0,2,"NO","Tabora",2010
1402008002006801,"M1",0,85,0.80937128448,0.404686003923416,0.1,11,"Loam","Bad","NO","NO","Flat bottom","NO","Owned","NO","YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,249408.866033258,494.096973233738,98819.3946467476,200,504.777158218437,39.6214441845746,2,FALSE,TRUE,"NO","YES","None purchased","Male",49,1982,4,119000,0,1,"NO","Tabora",2010
1402008002009201,"M1",0,168,1.61874256896,2.58999037742615,1.1,11,"Loam","Good","NO","NO","Flat bottom","NO","Owned","NO","YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,430574.458918528,494.096973233738,345867.881263617,700,871.437151497871,80.3270779535626,2,FALSE,TRUE,"NO","YES","None purchased","Male",49,1978,5,167000,0,1,"NO","Tabora",2010
1402008002009203,"M1",14,116,0.80937128448,0.768903374671936,1.3,11,"Loam","Good","NO","NO","Flat bottom","NO","Rented in",NA,"YES","YES",1200,75000,"YES","Herbicide",35000,25,0,0,0,NA,268702.647459589,494.096973233738,108701.334111422,220,543.82573060709,40.4541358781254,2,FALSE,TRUE,"YES","YES","TRADITIONAL","Male",26,1997,3,5000,0,1,"NO","Tabora",2010
